date,ndx,vix,irx
19891201,225.32,,7.53
19891204,226.72,,7.55
19891205,227.3,,7.56
19891206,224.15,,7.64
19891207,224.76,,7.69
19891208,224.02,,7.61
19891211,220.26,,7.64
19891212,217.8,,7.66
19891213,217.91,,7.69
19891214,216.35,,7.62
19891215,214.14,,7.62
19891218,210.85,,7.6
19891219,211.18,,7.67
19891220,213.24,,7.57
19891221,216.23,,7.56
19891222,217.63,,7.59
19891226,217.62,,7.76
19891227,221.57,,7.73
19891228,221.58,,7.68
19891229,223.84,,7.55
19900102,227.73,17.24,7.58
19900103,226.1,18.19,7.63
19900104,224.71,19.22,7.59
19900105,223.14,20.11,7.54
19900108,223.54,20.26,7.54
19900109,221.18,22.2,7.55
19900110,216.55,22.44,7.5
19900111,213.51,20.05,7.55
19900112,208.79,24.64,7.5
19900115,207.62,26.34,7.5
19900116,211.91,24.18,7.63
19900117,210.6,24.16,7.71
19900118,210.57,24.34,7.78
19900119,213.91,22.5,7.74
19900122,208.06,26.7,7.73
19900123,207.48,24.72,7.67
19900124,206.74,25.39,7.67
19900125,205.77,25.63,7.69
19900126,203.24,26.28,7.68
19900129,202.05,26.44,7.74
19900130,197.65,27.25,7.74
19900131,201.94,25.36,7.74
19900201,203.04,24.87,7.76
19900202,205.62,24.32,7.81
19900205,206.49,24.54,7.82
19900206,205.07,24.69,7.82
19900207,206.8,24.29,7.81
19900208,207.24,23.77,7.81
19900209,208.49,23.69,7.76
19900212,206.88,24.38,7.73
19900213,207.2,23.76,7.58
19900214,208.06,22.05,7.61
19900215,209.93,19.71,7.71
19900216,208.35,20.78,7.69
19900220,205.07,22.78,7.8
19900221,204.75,23.89,7.75
19900222,204.19,22.54,7.73
19900223,201.79,23.69,7.68
19900226,204.63,23.56,7.71
19900227,205.79,22.69,7.73
19900228,207.91,21.99,7.77
19900301,209.1,21.9,7.81
19900302,211.54,21.34,7.76
19900305,210.39,22.03,7.82
19900306,210.96,20.55,7.9
19900307,210.15,19.1,7.91
19900308,213.11,19.74,7.91
19900309,213.82,20.3,7.99
19900312,213.52,20.07,7.99
19900313,211.51,21.05,7.98
19900314,212.27,19.65,7.95
19900315,213.48,18.81,7.94
19900316,217.96,17.62,7.92
